date,Total Population,GDP
2019-01-01,,
2018-01-01,5314336.0,434166615431.909
2017-01-01,5276968.0,398393955268.99
2016-01-01,5234519.0,368827142857.143
2015-01-01,5188607.0,385801550067.169
2014-01-01,5137232.0,498410050251.256
2013-01-01,5079623.0,522761531914.894
2012-01-01,5018573.0,509506317146.541
2011-01-01,4953088.0,498283438454.281
2010-01-01,4889252.0,428757038466.841
2009-01-01,4828726.0,386190385318.767
2008-01-01,4768212.0,462250000000.0
2007-01-01,4709153.0,400937100158.657
2006-01-01,4660677.0,345581369965.54
2005-01-01,4623291.0,308884284051.222
2004-01-01,4591910.0,264511630666.983
2003-01-01,4564855.0,228858506821.841
2002-01-01,4538159.0,195524186477.617
2001-01-01,4513751.0,173972218824.027
2000-01-01,4490967.0,171247131268.604
1999-01-01,4461913.0,162284465073.341
1998-01-01,4431464.0,154163364302.66
1997-01-01,4405157.0,161356631888.484
1996-01-01,4381336.0,163520109150.671
1995-01-01,4359184.0,152029612324.788
1994-01-01,4336613.0,127131461119.927
1993-01-01,4311991.0,120579072750.596
1992-01-01,4286401.0,130838040067.584
1991-01-01,4261732.0,121872464483.487
1990-01-01,4241473.0,119791683307.507
1989-01-01,4226901.0,102633789557.535
1988-01-01,4209488.0,101900260856.222
1987-01-01,4186905.0,94230055658.6271
1986-01-01,4167354.0,78693253275.995
1985-01-01,4152516.0,65416879914.3907
1984-01-01,4140099.0,62057955032.7758
1983-01-01,4128432.0,61627240831.0948
1982-01-01,4114787.0,62647195537.6511
1981-01-01,4099702.0,63596654760.8677
1980-01-01,4085620.0,64439382896.0156
1979-01-01,4072517.0,53132244623.9213
1978-01-01,4058671.0,46523091009.6713
1977-01-01,4043205.0,41508030431.1074
1976-01-01,4026152.0,35942270686.3374
1975-01-01,4007313.0,32877805200.023
1974-01-01,3985258.0,27145693810.1341
1973-01-01,3960612.0,22534253702.8686
1972-01-01,3933004.0,17358610849.701
1971-01-01,3903039.0,14583114840.0629
1970-01-01,3875763.0,12814123115.2613
1969-01-01,3847707.0,11063065083.4888
1968-01-01,3816486.0,10159934136.7838
1967-01-01,3784539.0,9514496703.39762
1966-01-01,3753012.0,8696460205.3397
1965-01-01,3723168.0,8058681060.159
1964-01-01,3694339.0,7159202706.48027
1963-01-01,3666537.0,6510239502.76489
1962-01-01,3638918.0,6066976682.67364
1961-01-01,3609800.0,5632460936.54576
1960-01-01,3581239.0,5163271598.15702
